trial_number	practice_or_real	date_time	subj_code	seed	number_of_blocks	up_resp	expName	block_num	filename	displayed_string	orientation	true_angle	tilt_direction	standard_position	adjust_stim_position	matched_angle	signed_error	absolute_error	RT	num_mouse_wheel_up	num_mouse_wheel_down
28	real	2022-10-12 18:37	lmodahl	10	1	left	Exercise 5	1	7-44_inverted_13_right	7-44	inverted	13	right	(14, -1)	(31, -9)	9.0	-4.0	4.0	1493	0	9
29	real	2022-10-12 18:37	lmodahl	10	1	left	Exercise 5	1	ycyc_inverted_1_left	ycyc	inverted	1	left	(-6, 4)	(6, -12)	-3.0	-2.0	2.0	1796	3	0
30	real	2022-10-12 18:37	lmodahl	10	1	left	Exercise 5	1	ycyc_inverted_14_left	ycyc	inverted	14	left	(-40, -9)	(14, 4)	-16.0	-2.0	2.0	2110	16	0
31	real	2022-10-12 18:37	lmodahl	10	1	left	Exercise 5	1	ycyc_upright_8_left	ycyc	upright	8	left	(12, 12)	(8, 12)	-10.0	-2.0	2.0	1361	10	0
32	real	2022-10-12 18:37	lmodahl	10	1	left	Exercise 5	1	7-44_inverted_4_left	7-44	inverted	4	left	(-15, -13)	(14, 10)	-6.0	-2.0	2.0	1211	6	0
33	real	2022-10-12 18:37	lmodahl	10	1	left	Exercise 5	1	ycyc_inverted_5_left	ycyc	inverted	5	left	(-29, 11)	(-33, -4)	-8.0	-3.0	3.0	1393	8	0
34	real	2022-10-12 18:37	lmodahl	10	1	left	Exercise 5	1	ycyc_inverted_3_right	ycyc	inverted	3	right	(-8, -4)	(18, -2)	-1.0	-4.0	4.0	1860	1	0
35	real	2022-10-12 18:37	lmodahl	10	1	left	Exercise 5	1	ycyc_upright_2_right	ycyc	upright	2	right	(-16, 5)	(-4, -1)	0.0	-2.0	2.0	1460	0	0
36	real	2022-10-12 18:37	lmodahl	10	1	left	Exercise 5	1	ycyc_inverted_14_right	ycyc	inverted	14	right	(-3, 1)	(23, 1)	9.0	-5.0	5.0	2643	0	9
37	real	2022-10-12 18:37	lmodahl	10	1	left	Exercise 5	1	ycyc_upright_8_right	ycyc	upright	8	right	(-7, -3)	(16, 5)	3.0	-5.0	5.0	1942	0	3
38	real	2022-10-12 18:37	lmodahl	10	1	left	Exercise 5	1	ycyc_upright_7_left	ycyc	upright	7	left	(3, -4)	(-5, 0)	-7.0	0.0	0.0	1359	7	0
39	real	2022-10-12 18:37	lmodahl	10	1	left	Exercise 5	1	7-44_inverted_7_right	7-44	inverted	7	right	(17, 12)	(21, 3)	4.0	-3.0	3.0	1977	3	7
40	real	2022-10-12 18:37	lmodahl	10	1	left	Exercise 5	1	7-44_inverted_4_right	7-44	inverted	4	right	(21, -13)	(29, 8)	3.0	-1.0	1.0	1160	0	3
41	real	2022-10-12 18:37	lmodahl	10	1	left	Exercise 5	1	7-44_inverted_8_left	7-44	inverted	8	left	(6, 10)	(11, 14)	-12.0	-4.0	4.0	1677	12	0
42	real	2022-10-12 18:37	lmodahl	10	1	left	Exercise 5	1	7-44_inverted_2_right	7-44	inverted	2	right	(-19, 4)	(13, 8)	2.0	0.0	0.0	1510	0	2
43	real	2022-10-12 18:37	lmodahl	10	1	left	Exercise 5	1	ycyc_inverted_4_left	ycyc	inverted	4	left	(32, -13)	(36, 12)	-4.0	0.0	0.0	1277	4	0
44	real	2022-10-12 18:38	lmodahl	10	1	left	Exercise 5	1	7-44_inverted_14_right	7-44	inverted	14	right	(-1, -15)	(35, -5)	9.0	-5.0	5.0	1343	0	9
45	real	2022-10-12 18:38	lmodahl	10	1	left	Exercise 5	1	ycyc_upright_11_right	ycyc	upright	11	right	(1, -13)	(10, 4)	7.0	-4.0	4.0	1157	0	7
46	real	2022-10-12 18:38	lmodahl	10	1	left	Exercise 5	1	7-44_upright_13_right	7-44	upright	13	right	(7, -6)	(37, -10)	4.0	-9.0	9.0	1359	0	4
47	real	2022-10-12 18:38	lmodahl	10	1	left	Exercise 5	1	7-44_upright_4_right	7-44	upright	4	right	(-10, -10)	(-1, -12)	1.0	-3.0	3.0	2561	0	1
48	real	2022-10-12 18:38	lmodahl	10	1	left	Exercise 5	1	7-44_upright_6_left	7-44	upright	6	left	(31, 10)	(-34, -8)	-5.0	1.0	1.0	1761	5	0
49	real	2022-10-12 18:38	lmodahl	10	1	left	Exercise 5	1	7-44_upright_15_right	7-44	upright	15	right	(32, 8)	(-31, -2)	8.0	-7.0	7.0	2509	0	8
50	real	2022-10-12 18:38	lmodahl	10	1	left	Exercise 5	1	7-44_upright_7_left	7-44	upright	7	left	(-16, 3)	(33, -1)	-10.0	-3.0	3.0	1577	10	0
51	real	2022-10-12 18:38	lmodahl	10	1	left	Exercise 5	1	ycyc_upright_15_right	ycyc	upright	15	right	(35, -15)	(10, -9)	11.0	-4.0	4.0	2941	16	27
52	real	2022-10-12 18:38	lmodahl	10	1	left	Exercise 5	1	7-44_upright_10_right	7-44	upright	10	right	(3, 12)	(33, -9)	5.0	-5.0	5.0	1678	0	5
53	real	2022-10-12 18:38	lmodahl	10	1	left	Exercise 5	1	ycyc_upright_5_left	ycyc	upright	5	left	(26, 14)	(32, 9)	-5.0	0.0	0.0	1328	5	0
54	real	2022-10-12 18:38	lmodahl	10	1	left	Exercise 5	1	ycyc_inverted_1_right	ycyc	inverted	1	right	(1, 12)	(-34, 6)	0.0	-1.0	1.0	2611	0	0
55	real	2022-10-12 18:38	lmodahl	10	1	left	Exercise 5	1	7-44_upright_15_left	7-44	upright	15	left	(34, -14)	(-36, 3)	-14.0	1.0	1.0	2110	14	0
56	real	2022-10-12 18:38	lmodahl	10	1	left	Exercise 5	1	ycyc_upright_6_left	ycyc	upright	6	left	(6, 12)	(10, -5)	-12.0	-6.0	6.0	3421	12	0
57	real	2022-10-12 18:38	lmodahl	10	1	left	Exercise 5	1	7-44_inverted_5_left	7-44	inverted	5	left	(36, 5)	(-19, 9)	-3.0	2.0	2.0	1993	3	0
58	real	2022-10-12 18:38	lmodahl	10	1	left	Exercise 5	1	ycyc_upright_13_right	ycyc	upright	13	right	(-20, -12)	(37, 10)	9.0	-4.0	4.0	1744	0	9
59	real	2022-10-12 18:38	lmodahl	10	1	left	Exercise 5	1	7-44_upright_5_right	7-44	upright	5	right	(4, -10)	(-37, 8)	2.0	-3.0	3.0	2825	5	7
60	real	2022-10-12 18:38	lmodahl	10	1	left	Exercise 5	1	ycyc_upright_3_right	ycyc	upright	3	right	(28, 1)	(4, -13)	0.0	-3.0	3.0	1760	0	0
61	real	2022-10-12 18:38	lmodahl	10	1	left	Exercise 5	1	ycyc_inverted_11_left	ycyc	inverted	11	left	(10, -1)	(33, 13)	-14.0	-3.0	3.0	1593	14	0
62	real	2022-10-12 18:38	lmodahl	10	1	left	Exercise 5	1	7-44_upright_8_left	7-44	upright	8	left	(4, -14)	(-22, 14)	-5.0	3.0	3.0	1677	5	0
63	real	2022-10-12 18:38	lmodahl	10	1	left	Exercise 5	1	ycyc_inverted_15_left	ycyc	inverted	15	left	(16, 7)	(20, 4)	-15.0	0.0	0.0	1510	15	0
64	real	2022-10-12 18:39	lmodahl	10	1	left	Exercise 5	1	7-44_inverted_16_right	7-44	inverted	16	right	(17, 8)	(16, 4)	9.0	-7.0	7.0	1245	0	9
65	real	2022-10-12 18:39	lmodahl	10	1	left	Exercise 5	1	ycyc_upright_6_right	ycyc	upright	6	right	(-18, -4)	(14, 11)	4.0	-2.0	2.0	2060	0	4
66	real	2022-10-12 18:39	lmodahl	10	1	left	Exercise 5	1	7-44_upright_14_left	7-44	upright	14	left	(3, 2)	(25, -1)	-12.0	2.0	2.0	1927	14	2
67	real	2022-10-12 18:39	lmodahl	10	1	left	Exercise 5	1	ycyc_inverted_2_right	ycyc	inverted	2	right	(9, -9)	(-28, -2)	1.0	-1.0	1.0	2127	1	2
