trial_number	practice_or_real	date_time	subj_code	seed	number_of_blocks	up_resp	expName	block_num	filename	displayed_string	orientation	true_angle	tilt_direction	standard_position	adjust_stim_position	matched_angle	signed_error	absolute_error	RT	num_mouse_wheel_up	num_mouse_wheel_down
35	real	2022-10-12 16:15	tilt_ezgimelisa	10	1	right	Exercise 5	1	ycyc_upright_2_right	ycyc	upright	2	right	(-16, 5)	(-4, -1)	0.0	-2.0	2.0	812	0	0
36	real	2022-10-12 16:15	tilt_ezgimelisa	10	1	right	Exercise 5	1	ycyc_inverted_14_right	ycyc	inverted	14	right	(-3, 1)	(23, 1)	6.0	-8.0	8.0	1510	6	0
37	real	2022-10-12 16:15	tilt_ezgimelisa	10	1	right	Exercise 5	1	ycyc_upright_8_right	ycyc	upright	8	right	(-7, -3)	(16, 5)	6.0	-2.0	2.0	1485	6	0
38	real	2022-10-12 16:15	tilt_ezgimelisa	10	1	right	Exercise 5	1	ycyc_upright_7_left	ycyc	upright	7	left	(3, -4)	(-5, 0)	-7.0	0.0	0.0	1384	0	7
39	real	2022-10-12 16:15	tilt_ezgimelisa	10	1	right	Exercise 5	1	7-44_inverted_7_right	7-44	inverted	7	right	(17, 12)	(21, 3)	9.0	2.0	2.0	2081	11	2
40	real	2022-10-12 16:15	tilt_ezgimelisa	10	1	right	Exercise 5	1	7-44_inverted_4_right	7-44	inverted	4	right	(21, -13)	(29, 8)	0.0	-4.0	4.0	884	0	0
41	real	2022-10-12 16:15	tilt_ezgimelisa	10	1	right	Exercise 5	1	7-44_inverted_8_left	7-44	inverted	8	left	(6, 10)	(11, 14)	-9.0	-1.0	1.0	1581	0	9
42	real	2022-10-12 16:15	tilt_ezgimelisa	10	1	right	Exercise 5	1	7-44_inverted_2_right	7-44	inverted	2	right	(-19, 4)	(13, 8)	0.0	-2.0	2.0	1364	0	0
43	real	2022-10-12 16:15	tilt_ezgimelisa	10	1	right	Exercise 5	1	ycyc_inverted_4_left	ycyc	inverted	4	left	(32, -13)	(36, 12)	-7.0	-3.0	3.0	1513	0	7
44	real	2022-10-12 16:15	tilt_ezgimelisa	10	1	right	Exercise 5	1	7-44_inverted_14_right	7-44	inverted	14	right	(-1, -15)	(35, -5)	12.0	-2.0	2.0	1526	12	0
45	real	2022-10-12 16:16	tilt_ezgimelisa	10	1	right	Exercise 5	1	ycyc_upright_11_right	ycyc	upright	11	right	(1, -13)	(10, 4)	0.0	-11.0	11.0	965	0	0
46	real	2022-10-12 16:16	tilt_ezgimelisa	10	1	right	Exercise 5	1	7-44_upright_13_right	7-44	upright	13	right	(7, -6)	(37, -10)	8.0	-5.0	5.0	1966	8	0
47	real	2022-10-12 16:16	tilt_ezgimelisa	10	1	right	Exercise 5	1	7-44_upright_4_right	7-44	upright	4	right	(-10, -10)	(-1, -12)	0.0	-4.0	4.0	1035	0	0
48	real	2022-10-12 16:16	tilt_ezgimelisa	10	1	right	Exercise 5	1	7-44_upright_6_left	7-44	upright	6	left	(31, 10)	(-34, -8)	-9.0	-3.0	3.0	1513	0	9
49	real	2022-10-12 16:16	tilt_ezgimelisa	10	1	right	Exercise 5	1	7-44_upright_15_right	7-44	upright	15	right	(32, 8)	(-31, -2)	14.0	-1.0	1.0	2228	14	0
50	real	2022-10-12 16:16	tilt_ezgimelisa	10	1	right	Exercise 5	1	7-44_upright_7_left	7-44	upright	7	left	(-16, 3)	(33, -1)	-9.0	-2.0	2.0	3013	6	15
51	real	2022-10-12 16:16	tilt_ezgimelisa	10	1	right	Exercise 5	1	ycyc_upright_15_right	ycyc	upright	15	right	(35, -15)	(10, -9)	13.0	-2.0	2.0	3895	27	14
52	real	2022-10-12 16:16	tilt_ezgimelisa	10	1	right	Exercise 5	1	7-44_upright_10_right	7-44	upright	10	right	(3, 12)	(33, -9)	6.0	-4.0	4.0	1481	6	0
53	real	2022-10-12 16:16	tilt_ezgimelisa	10	1	right	Exercise 5	1	ycyc_upright_5_left	ycyc	upright	5	left	(26, 14)	(32, 9)	-9.0	-4.0	4.0	1465	0	9
54	real	2022-10-12 16:16	tilt_ezgimelisa	10	1	right	Exercise 5	1	ycyc_inverted_1_right	ycyc	inverted	1	right	(1, 12)	(-34, 6)	0.0	-1.0	1.0	1078	0	0
55	real	2022-10-12 16:16	tilt_ezgimelisa	10	1	right	Exercise 5	1	7-44_upright_15_left	7-44	upright	15	left	(34, -14)	(-36, 3)	-15.0	0.0	0.0	3713	15	30
56	real	2022-10-12 16:16	tilt_ezgimelisa	10	1	right	Exercise 5	1	ycyc_upright_6_left	ycyc	upright	6	left	(6, 12)	(10, -5)	-7.0	-1.0	1.0	2511	4	11
57	real	2022-10-12 16:16	tilt_ezgimelisa	10	1	right	Exercise 5	1	7-44_inverted_5_left	7-44	inverted	5	left	(36, 5)	(-19, 9)	0.0	5.0	5.0	861	0	0
58	real	2022-10-12 16:16	tilt_ezgimelisa	10	1	right	Exercise 5	1	ycyc_upright_13_right	ycyc	upright	13	right	(-20, -12)	(37, 10)	0.0	-13.0	13.0	1133	0	0
59	real	2022-10-12 16:16	tilt_ezgimelisa	10	1	right	Exercise 5	1	7-44_upright_5_right	7-44	upright	5	right	(4, -10)	(-37, 8)	0.0	-5.0	5.0	814	0	0
60	real	2022-10-12 16:16	tilt_ezgimelisa	10	1	right	Exercise 5	1	ycyc_upright_3_right	ycyc	upright	3	right	(28, 1)	(4, -13)	0.0	-3.0	3.0	817	0	0
61	real	2022-10-12 16:16	tilt_ezgimelisa	10	1	right	Exercise 5	1	ycyc_inverted_11_left	ycyc	inverted	11	left	(10, -1)	(33, 13)	-10.0	1.0	1.0	2961	8	18
62	real	2022-10-12 16:16	tilt_ezgimelisa	10	1	right	Exercise 5	1	7-44_upright_8_left	7-44	upright	8	left	(4, -14)	(-22, 14)	-8.0	0.0	0.0	1512	0	8
63	real	2022-10-12 16:16	tilt_ezgimelisa	10	1	right	Exercise 5	1	ycyc_inverted_15_left	ycyc	inverted	15	left	(16, 7)	(20, 4)	-12.0	3.0	3.0	1414	0	12
64	real	2022-10-12 16:16	tilt_ezgimelisa	10	1	right	Exercise 5	1	7-44_inverted_16_right	7-44	inverted	16	right	(17, 8)	(16, 4)	14.0	-2.0	2.0	2112	18	4
65	real	2022-10-12 16:16	tilt_ezgimelisa	10	1	right	Exercise 5	1	ycyc_upright_6_right	ycyc	upright	6	right	(-18, -4)	(14, 11)	0.0	-6.0	6.0	1011	0	0
66	real	2022-10-12 16:17	tilt_ezgimelisa	10	1	right	Exercise 5	1	7-44_upright_14_left	7-44	upright	14	left	(3, 2)	(25, -1)	-10.0	4.0	4.0	2716	10	20
67	real	2022-10-12 16:17	tilt_ezgimelisa	10	1	right	Exercise 5	1	ycyc_inverted_2_right	ycyc	inverted	2	right	(9, -9)	(-28, -2)	0.0	-2.0	2.0	891	0	0
68	real	2022-10-12 16:17	tilt_ezgimelisa	10	1	right	Exercise 5	1	7-44_upright_6_right	7-44	upright	6	right	(-21, -14)	(-17, 5)	0.0	-6.0	6.0	506	0	0
69	real	2022-10-12 16:17	tilt_ezgimelisa	10	1	right	Exercise 5	1	ycyc_inverted_8_right	ycyc	inverted	8	right	(-16, 3)	(14, 14)	0.0	-8.0	8.0	626	0	0
70	real	2022-10-12 16:17	tilt_ezgimelisa	10	1	right	Exercise 5	1	7-44_inverted_5_right	7-44	inverted	5	right	(6, 2)	(8, -14)	0.0	-5.0	5.0	694	0	0
71	real	2022-10-12 16:17	tilt_ezgimelisa	10	1	right	Exercise 5	1	ycyc_inverted_3_left	ycyc	inverted	3	left	(37, -14)	(-19, -6)	-5.0	-2.0	2.0	1530	0	5
