trial_number	practice_or_real	date_time	subj_code	seed	number_of_blocks	up_resp	expName	block_num	filename	displayed_string	orientation	true_angle	tilt_direction	standard_position	adjust_stim_position	matched_angle	signed_error	absolute_error	RT	num_mouse_wheel_up	num_mouse_wheel_down
28	real	2022-10-12 13:13	leanthony2	10	1	right	Exercise 5	1	7-44_inverted_13_right	7-44	inverted	13	right	(14, -1)	(31, -9)	11.0	-2.0	2.0	1567	11	0
29	real	2022-10-12 13:13	leanthony2	10	1	right	Exercise 5	1	ycyc_inverted_1_left	ycyc	inverted	1	left	(-6, 4)	(6, -12)	-1.0	0.0	0.0	2413	4	5
30	real	2022-10-12 13:13	leanthony2	10	1	right	Exercise 5	1	ycyc_inverted_14_left	ycyc	inverted	14	left	(-40, -9)	(14, 4)	-12.0	2.0	2.0	2160	0	12
31	real	2022-10-12 13:13	leanthony2	10	1	right	Exercise 5	1	ycyc_upright_8_left	ycyc	upright	8	left	(12, 12)	(8, 12)	-11.0	-3.0	3.0	5511	0	11
32	real	2022-10-12 13:13	leanthony2	10	1	right	Exercise 5	1	7-44_inverted_4_left	7-44	inverted	4	left	(-15, -13)	(14, 10)	-4.0	0.0	0.0	2087	0	4
33	real	2022-10-12 13:14	leanthony2	10	1	right	Exercise 5	1	ycyc_inverted_5_left	ycyc	inverted	5	left	(-29, 11)	(-33, -4)	-4.0	1.0	1.0	2761	0	4
34	real	2022-10-12 13:14	leanthony2	10	1	right	Exercise 5	1	ycyc_inverted_3_right	ycyc	inverted	3	right	(-8, -4)	(18, -2)	1.0	-2.0	2.0	2660	6	5
35	real	2022-10-12 13:14	leanthony2	10	1	right	Exercise 5	1	ycyc_upright_2_right	ycyc	upright	2	right	(-16, 5)	(-4, -1)	0.0	-2.0	2.0	2160	0	0
36	real	2022-10-12 13:14	leanthony2	10	1	right	Exercise 5	1	ycyc_inverted_14_right	ycyc	inverted	14	right	(-3, 1)	(23, 1)	11.0	-3.0	3.0	2996	21	10
37	real	2022-10-12 13:14	leanthony2	10	1	right	Exercise 5	1	ycyc_upright_8_right	ycyc	upright	8	right	(-7, -3)	(16, 5)	10.0	2.0	2.0	1713	10	0
38	real	2022-10-12 13:14	leanthony2	10	1	right	Exercise 5	1	ycyc_upright_7_left	ycyc	upright	7	left	(3, -4)	(-5, 0)	-12.0	-5.0	5.0	2945	0	12
39	real	2022-10-12 13:14	leanthony2	10	1	right	Exercise 5	1	7-44_inverted_7_right	7-44	inverted	7	right	(17, 12)	(21, 3)	9.0	2.0	2.0	2378	12	3
40	real	2022-10-12 13:14	leanthony2	10	1	right	Exercise 5	1	7-44_inverted_4_right	7-44	inverted	4	right	(21, -13)	(29, 8)	3.0	-1.0	1.0	2646	7	4
41	real	2022-10-12 13:14	leanthony2	10	1	right	Exercise 5	1	7-44_inverted_8_left	7-44	inverted	8	left	(6, 10)	(11, 14)	-10.0	-2.0	2.0	2260	0	10
42	real	2022-10-12 13:14	leanthony2	10	1	right	Exercise 5	1	7-44_inverted_2_right	7-44	inverted	2	right	(-19, 4)	(13, 8)	0.0	-2.0	2.0	1377	0	0
43	real	2022-10-12 13:14	leanthony2	10	1	right	Exercise 5	1	ycyc_inverted_4_left	ycyc	inverted	4	left	(32, -13)	(36, 12)	-9.0	-5.0	5.0	3310	0	9
44	real	2022-10-12 13:14	leanthony2	10	1	right	Exercise 5	1	7-44_inverted_14_right	7-44	inverted	14	right	(-1, -15)	(35, -5)	14.0	0.0	0.0	3211	14	0
45	real	2022-10-12 13:14	leanthony2	10	1	right	Exercise 5	1	ycyc_upright_11_right	ycyc	upright	11	right	(1, -13)	(10, 4)	12.0	1.0	1.0	1686	12	0
46	real	2022-10-12 13:14	leanthony2	10	1	right	Exercise 5	1	7-44_upright_13_right	7-44	upright	13	right	(7, -6)	(37, -10)	10.0	-3.0	3.0	2527	10	0
47	real	2022-10-12 13:14	leanthony2	10	1	right	Exercise 5	1	7-44_upright_4_right	7-44	upright	4	right	(-10, -10)	(-1, -12)	6.0	2.0	2.0	2245	7	1
48	real	2022-10-12 13:14	leanthony2	10	1	right	Exercise 5	1	7-44_upright_6_left	7-44	upright	6	left	(31, 10)	(-34, -8)	-11.0	-5.0	5.0	4111	0	11
49	real	2022-10-12 13:15	leanthony2	10	1	right	Exercise 5	1	7-44_upright_15_right	7-44	upright	15	right	(32, 8)	(-31, -2)	10.0	-5.0	5.0	2795	10	0
50	real	2022-10-12 13:15	leanthony2	10	1	right	Exercise 5	1	7-44_upright_7_left	7-44	upright	7	left	(-16, 3)	(33, -1)	-10.0	-3.0	3.0	4595	2	12
51	real	2022-10-12 13:15	leanthony2	10	1	right	Exercise 5	1	ycyc_upright_15_right	ycyc	upright	15	right	(35, -15)	(10, -9)	12.0	-3.0	3.0	1617	12	0
52	real	2022-10-12 13:15	leanthony2	10	1	right	Exercise 5	1	7-44_upright_10_right	7-44	upright	10	right	(3, 12)	(33, -9)	10.0	0.0	0.0	1661	10	0
53	real	2022-10-12 13:15	leanthony2	10	1	right	Exercise 5	1	ycyc_upright_5_left	ycyc	upright	5	left	(26, 14)	(32, 9)	-13.0	-8.0	8.0	2293	0	13
54	real	2022-10-12 13:15	leanthony2	10	1	right	Exercise 5	1	ycyc_inverted_1_right	ycyc	inverted	1	right	(1, 12)	(-34, 6)	0.0	-1.0	1.0	1078	0	0
55	real	2022-10-12 13:15	leanthony2	10	1	right	Exercise 5	1	7-44_upright_15_left	7-44	upright	15	left	(34, -14)	(-36, 3)	-18.0	-3.0	3.0	2246	0	18
56	real	2022-10-12 13:15	leanthony2	10	1	right	Exercise 5	1	ycyc_upright_6_left	ycyc	upright	6	left	(6, 12)	(10, -5)	-10.0	-4.0	4.0	1877	0	10
57	real	2022-10-12 13:15	leanthony2	10	1	right	Exercise 5	1	7-44_inverted_5_left	7-44	inverted	5	left	(36, 5)	(-19, 9)	-6.0	-1.0	1.0	2727	6	12
58	real	2022-10-12 13:15	leanthony2	10	1	right	Exercise 5	1	ycyc_upright_13_right	ycyc	upright	13	right	(-20, -12)	(37, 10)	10.0	-3.0	3.0	2393	10	0
59	real	2022-10-12 13:15	leanthony2	10	1	right	Exercise 5	1	7-44_upright_5_right	7-44	upright	5	right	(4, -10)	(-37, 8)	5.0	0.0	0.0	2343	9	4
60	real	2022-10-12 13:15	leanthony2	10	1	right	Exercise 5	1	ycyc_upright_3_right	ycyc	upright	3	right	(28, 1)	(4, -13)	1.0	-2.0	2.0	2262	8	7
61	real	2022-10-12 13:15	leanthony2	10	1	right	Exercise 5	1	ycyc_inverted_11_left	ycyc	inverted	11	left	(10, -1)	(33, 13)	-11.0	0.0	0.0	3143	0	11
62	real	2022-10-12 13:15	leanthony2	10	1	right	Exercise 5	1	7-44_upright_8_left	7-44	upright	8	left	(4, -14)	(-22, 14)	-8.0	0.0	0.0	1878	0	8
63	real	2022-10-12 13:15	leanthony2	10	1	right	Exercise 5	1	ycyc_inverted_15_left	ycyc	inverted	15	left	(16, 7)	(20, 4)	-13.0	2.0	2.0	2710	0	13
64	real	2022-10-12 13:15	leanthony2	10	1	right	Exercise 5	1	7-44_inverted_16_right	7-44	inverted	16	right	(17, 8)	(16, 4)	10.0	-6.0	6.0	1712	10	0
65	real	2022-10-12 13:15	leanthony2	10	1	right	Exercise 5	1	ycyc_upright_6_right	ycyc	upright	6	right	(-18, -4)	(14, 11)	3.0	-3.0	3.0	3045	12	9
66	real	2022-10-12 13:15	leanthony2	10	1	right	Exercise 5	1	7-44_upright_14_left	7-44	upright	14	left	(3, 2)	(25, -1)	-14.0	0.0	0.0	2644	0	14
67	real	2022-10-12 13:16	leanthony2	10	1	right	Exercise 5	1	ycyc_inverted_2_right	ycyc	inverted	2	right	(9, -9)	(-28, -2)	1.0	-1.0	1.0	2663	5	4
68	real	2022-10-12 13:16	leanthony2	10	1	right	Exercise 5	1	7-44_upright_6_right	7-44	upright	6	right	(-21, -14)	(-17, 5)	6.0	0.0	0.0	1735	6	0
69	real	2022-10-12 13:16	leanthony2	10	1	right	Exercise 5	1	ycyc_inverted_8_right	ycyc	inverted	8	right	(-16, 3)	(14, 14)	6.0	-2.0	2.0	2228	6	0
70	real	2022-10-12 13:16	leanthony2	10	1	right	Exercise 5	1	7-44_inverted_5_right	7-44	inverted	5	right	(6, 2)	(8, -14)	4.0	-1.0	1.0	2045	4	0
71	real	2022-10-12 13:16	leanthony2	10	1	right	Exercise 5	1	ycyc_inverted_3_left	ycyc	inverted	3	left	(37, -14)	(-19, -6)	-3.0	0.0	0.0	4096	1	4
72	real	2022-10-12 13:16	leanthony2	10	1	right	Exercise 5	1	7-44_inverted_7_left	7-44	inverted	7	left	(-12, -14)	(34, -10)	-7.0	0.0	0.0	2077	0	7
73	real	2022-10-12 13:16	leanthony2	10	1	right	Exercise 5	1	ycyc_upright_16_left	ycyc	upright	16	left	(-28, 5)	(32, -4)	-14.0	2.0	2.0	4144	0	14
74	real	2022-10-12 13:16	leanthony2	10	1	right	Exercise 5	1	ycyc_upright_12_left	ycyc	upright	12	left	(-17, -6)	(-35, -3)	-8.0	4.0	4.0	2679	0	8
75	real	2022-10-12 13:16	leanthony2	10	1	right	Exercise 5	1	7-44_upright_1_left	7-44	upright	1	left	(36, 9)	(14, -13)	-3.0	-2.0	2.0	2261	0	3
76	real	2022-10-12 13:16	leanthony2	10	1	right	Exercise 5	1	7-44_inverted_15_left	7-44	inverted	15	left	(4, 9)	(-16, 0)	-14.0	1.0	1.0	3028	0	14
77	real	2022-10-12 13:16	leanthony2	10	1	right	Exercise 5	1	ycyc_inverted_12_right	ycyc	inverted	12	right	(-20, -10)	(11, 10)	8.0	-4.0	4.0	3010	12	4
78	real	2022-10-12 13:16	leanthony2	10	1	right	Exercise 5	1	ycyc_upright_4_right	ycyc	upright	4	right	(19, 9)	(2, 13)	4.0	0.0	0.0	2526	4	0
79	real	2022-10-12 13:16	leanthony2	10	1	right	Exercise 5	1	ycyc_upright_14_left	ycyc	upright	14	left	(-36, -10)	(-18, 3)	-15.0	-1.0	1.0	2547	0	15
80	real	2022-10-12 13:16	leanthony2	10	1	right	Exercise 5	1	7-44_inverted_14_left	7-44	inverted	14	left	(13, -11)	(25, 5)	-15.0	-1.0	1.0	2867	0	15
81	real	2022-10-12 13:16	leanthony2	10	1	right	Exercise 5	1	7-44_inverted_9_left	7-44	inverted	9	left	(10, -12)	(10, 11)	-10.0	-1.0	1.0	1927	0	10
82	real	2022-10-12 13:16	leanthony2	10	1	right	Exercise 5	1	7-44_inverted_16_left	7-44	inverted	16	left	(-25, -8)	(-27, -2)	-15.0	1.0	1.0	2494	0	15
83	real	2022-10-12 13:17	leanthony2	10	1	right	Exercise 5	1	7-44_upright_11_right	7-44	upright	11	right	(-1, 8)	(-3, 2)	6.0	-5.0	5.0	2194	10	4
